28,A Practical Approach to Database Systems,Pal Quittner,95,1,28,,Akademiai Kiado Rt.,9.79E+12,,Information Systems,291
29,A Practical Guide to Data Base Design,Rex Hogan,89,12,1,,Prentice Hall Professional Technical Reference,9.78E+12,,,208
30,A Practical Guide to Data Base Management,James Hannan,82,9,1,,"Wiley, John & Sons, Incorporated",9.78E+12,,"Auerbach Data Processing Management Library,#4",110
31,A Practitioner's Guide To Upgrading To Sybase Ase 15,Mich Talebzadeh,09,10,19,,Service Oriented Architecture,9.78E+12,,,160
32,A PROLOG Database System,Deyi Li,84,6,6,1,"Wiley, John & Sons, Incorporated",9.78E+12,,Electronic & Electrical Engineering Research Studies,207
33,A Question of Balance: Private Rights and the Public Interest in Scientific and Technical Databases,"Committee for a Study on Promoting Access to Scientific and Technical Data for the Public Interest, National Research Council",99,12,16,,National Academies Press,9.78E+12,,,158
34,A Quick Course in Access Version 2 for Windows: Computer Training Books for Busy People,"Joyce Cox, Mike Elison, Mike Elison",94,9,28,,Nelson Education Limited,9.78E+12,,Quick Course Series,171
35,A Relational Data Base Management System,Andrew T. F. Hutt,79,12,1,,"Wiley, John & Sons, Incorporated",9.78E+12,,Computing and Information Processing Ser.,240
36,A Rule-Based Approach to Database Security.,IV Kopaliani,12,7,17,,BiblioLabsII,9.78E+12,,,332
37,"A Vegetation Database for the Colorado River Ecosystem from Glen Canyon Dam to the Western Boundary of Grand Canyon National Park, Arizona: USGS Open-File Report 2008-1216","United U.S. Department of the Interior (Created by), et al., Barbara E. Ralston",13,2,11,,BiblioGov,9.78E+12,,,48
38,AbacusLaw: Hands-On Tutorial and Guide,Thomas F. Goldman,10,6,22,1,Prentice Hall,9.78E+12,,,336
39,ABCs of Lotus Notes 4.5,Rupert Clayton,97,4,1,,"Wiley, John & Sons, Incorporated",9.78E+12,,,496
40,Absolute Beginner's Guide to Databases,John Petersen,02,3,28,,Que,9.78E+12,,Absolute Beginner's Guide Series,336
41,Accelerated SQL Server 2008,"Robert Walters, Michael Coles, Fabio Claudio Ferracchiati, Robert Rae, Donald Farmer",08,5,23,1,Apress,9.78E+12,,Expert's Voice Series,816
42,Access 2000 Advanced Functions,Eni Publishing Ltd,00,6,1,,"ENI Publishing, France",9.78E+12,,Finding Your Way Ser.,160
43,Access 2000 Developer's Handbook,"Paul Litwin, Ken Getz, Mike Gilbert",99,12,2,1,Wiley,9.78E+12,,Access 2000 Developer's Handbook Series,1071
44,Access 2000 Essentials Advanced,"Robert L. Ferrett, John Preston, Sally Preston",99,11,24,1,Prentice Hall,9.78E+12,,Essentials Series for Office 2000 Series,232
45,Access 2000 Essentials Basic,"Sally Preston, Robert Ferrett, John Preston, Sally Preston",99,8,26,1,Prentice Hall,9.78E+12,,Essentials Series for Office 2000 Series,238
46,Access 2000 Essentials Intermediate,"Robert Ferrett, Sally Preston, John Preston, Sally Preston",99,8,17,1,Pearson,9.78E+12,,Essentials Series,256
47,Access 2000 for Windows: Visual QuickStart Guide,"Deborah S. Ray, Eric J. Ray",99,6,30,1,Peachpit Press,9.78E+12,,Visual QuickStart Guide Series,272
48,Access 2000 for Windows For Dummies: Quick Reference,"Alison Barrows, Alison Barrows",99,5,28,1,Wiley,9.78E+12,,For Dummies Quick Reference Series,240
49,Access 2000 For Windows,John Kaufeld,99,5,28,1,Wiley,9.78E+12,,For Dummies Series,408
50,Access 2000 Programming,"Ian Blackburn, Steven K. Thompson (Joint Author), Felipe Martins (Joint Author), Robin Dewson, Scott Hanselman",00,8,1,,"Wrox Press, Inc.",9.78E+12,,Professional Ser.,904
51,Access 2000 Programming Weekend Crash Course,"Cary N. Prague, Jennifer Reardon, Lawrence S. Kasevich, Phuc V. Phan, Diana Reid",00,1,28,1,Wiley,9.78E+12,,"Weekend Crash Course Series,#1",648
52,Access 2000: The Complete Reference,Virginia Andersen,99,5,28,,"McGraw-Hill Companies, The",9.78E+12,,Complete Reference Series,1288
53,Access 2000: 074401s3,,01,1,28,,Element K LLC,9.78E+12
54,Access 2002 Bible with CD-ROM,"Cary N. Prague, Michael R. Irwin",01,1,28,1,Wiley,9.78E+12,,"Bible Series,#73",1392
55,Access 2002 - Complete,"Timothy J. O'Leary, Linda I. O'Leary, Kathryn M. Lee",01,10,28,1,"McGraw-Hill Companies, The",9.78E+12,,"O'Leary Microsoft, Office XP Ser.",720
56,Access 2002 Desktop Developer's Handbook,"Paul Litwin, Ken Getz, Mike Gunderloy",01,10,28,1,Wiley,9.78E+12,,Developer's Handbook Series,1439
57,Access 2002 for Dummies,"John Kaufeld, Michael MacDonald (Revised by)",01,6,1,1,Wiley,9.78E+12,,For Dummies Series,384
58,Access 2002: A Comprehensive Approach,McGraw-Hill Education,02,8,8,1,McGraw-Hill Education,9.78E+12,,,688
59,Access 2002: A Tutorial to Accompany Peter Norton's Introduction to Computers,Peter Norton,02,4,19,4,"McGraw-Hill Companies, The",9.78E+12,,,285
60,Access 2002 VBA Handbook,"Susann Novalis, Dana Jones",01,11,28,1,Wiley,9.78E+12,,Developer's Handbook Series,880
61,Access 2002: The Complete Reference,"Virginia Andersen, Andersen, Megg Morin (Editor)",01,4,19,1,McGraw-Hill Professional Publishing,9.78E+12,,Complete Reference Series,1220
62,"Access 2003: Intermediate, 2nd Edition + Certblaster & CBT, Instructor's Edition",Axzo Press,06,2,28,,Axzo Press,9.78E+12,,,188
63,Access 2003 fur Dummies,John Kaufeld,05,8,19,1,"Wiley, John & Sons, Incorporated",9.78E+12,German,Fur Dummies Series,373
64,Access 2003: Quick Course 1,"Michelle Marotti, Brian Favro",04,1,28,1,"Labyrinth Publications, Incorporated",9.78E+12,,Briefcase,224
65,Access 2003 Programming Weekend Crash Course,"Cary N. Prague, Jennifer Reardon, Lawrence S. Kasevich, Diana Reid, Phuc V. Phan",03,9,29,1,Wiley,9.78E+12,,"Weekend Crash Course Series,#4",504
66,Access 2007 For Dummies,"Laurie Ulrich Fuller, Ken Cook, John Kaufeld",06,12,18,1,Wiley,9.78E+12,,For Dummies Series,432
67,Access 2007 Forms & Reports For Dummies,"Brian Underdahl, Darlene Underdahl",06,12,26,1,Wiley,9.78E+12,,For Dummies Series,390
68,Access 2007,John Hales,07,2,9,,"BarCharts, Incorporated",9.78E+12,,Quickstudy,6
69,Access 2007: The Missing Manual,Matthew MacDonald,07,1,28,1,"O'Reilly Media, Incorporated",9.78E+12,,Missing Manual Series,754
70,Access 2007,Quamut,07,8,25,,Sterling,9.78E+12,,Quamut Series,6
71,Access 2007 VBA Programming For Dummies,"Alan Simpson, Joseph C. Stockman",07,2,12,1,Wiley,9.78E+12,,For Dummies Series,408
72,"Access 2010: Basic + Certblaster, Student Manual with Data",Axzo Press,11,4,28,,Axzo Press,9.78E+12,,,224
73,Access 2013 Absolute Beginner's Guide,Alison Balter,13,4,30,1,Que,9.78E+12,,Absolute Beginner's Guide Series,388
74,Access 2013 All-in-One For Dummies,"Alison Barrows, Joseph C. Stockman, Allen G. Taylor",13,4,8,1,Wiley,9.78E+12,,For Dummies Series,792
75,Access 2013 on Demand,"Steve Johnson, . Perspection Inc.",13,5,30,1,Que,9.78E+12,,On Demand Series,492
76,Access 97,BarCharts,97,5,1,,"BarCharts, Incorporated",9.78E+12,,Quick Study Computer Series,4
77,Access 97 Bible,"Cary N. Prague, Michael R. Irwin",97,1,28,1,"Wiley, John & Sons, Incorporated",9.78E+12,,"Bible Series,#366",1176
78,Access 97 Developer's Handbook,"Mike Gilbert, Paul Litwin, Mike Gilbert, Ken Getz",96,12,1,3,"Wiley, John & Sons, Incorporated",9.78E+12,,Developer's Handbook Series,1485
79,Access 97 Developer's Set,"Ken Getz, Mike Gilbert, Paul Litwin",97,12,15,1,"Wiley, John & Sons, Incorporated",9.78E+12,,Developer's Handbook Series,2560
80,Access 97 Expert Solutions,Stan Leszynski,96,3,7,,Pearson Education,9.78E+12,,,1248
81,Access 97 for Windows,Charles Siegel,96,12,1,1,"Wiley, John & Sons, Incorporated",9.78E+12,,Idg Teach Yourself Series,496
82,Access 97 for Windows for Dummies: Quick Reference,"Alison Barrows, Dummies",97,1,28,1,Wiley,9.78E+12,,For Dummies Quick Reference Series,226
83,Access 97 in 14 Days,"Paul Cassel, Paul Teach Yourself Acces Cassel, Paul Cassell",96,12,28,4,Sams,9.78E+12,,Teach Yoursefl Ser.,752
84,Access 97 SmartStart,"Robert Ferrett, John Preston, Robert L. Ferrett, Sally M. Preston, Sally Preston",97,9,19,1,Pearson,9.78E+12,,SmartStart Series,352
85,Access Control in Data Management Systems,"Elena Ferrari, M. Tamer ��zsu (Editor)",10,6,1,,Morgan and Claypool Publishers,9.78E+12,,Synthesis Lectures on Data Management Series,118
86,Access Cookbook,"Ken Getz, Paul Litwin, Andy Baron",04,3,18,2,"O'Reilly Media, Incorporated",9.78E+12,,,840
87,Access Database Design and Programming: What You Really Need to Know to Develop with Access,"Steven Roman PhD, Ronald Petrusha (Editor)",97,8,8,1,"O'Reilly Media, Incorporated",9.78E+12,,Nutshell Handbooks Series,270
88,Access Database Design and Programming,"Steven Roman PhD, Ron Petrusha (Editor)",02,1,28,3,"O'Reilly Media, Incorporated",9.78E+12,,Nutshell Handbooks Series,450
89,Access Database Design & Programming,"Steven Roman PhD, Ron Petrusha (Editor)",99,7,8,2,"O'Reilly Media, Incorporated",9.78E+12,,Nutshell Handbooks Series,432
90,Access for Windows 95 Bible,"Cary N. Prague, Levine-Young",95,10,1,3,"Wiley, John & Sons, Incorporated",9.78E+12,,Bible Series,1152
91,Access for Windows 95: The Visual Learning Guide,"David C. Gardner, David A. Sauer",95,10,1,,Crown Publishing Group,9.78E+12,,Visual Learning Guides,272
92,Access for Windows 95 for Dummies,John Kaufeld,95,12,1,1,"Wiley, John & Sons, Incorporated",9.78E+12,,For Dummies Series,384
93,Access for Windows 97 for Dummies,John Kaufeld,97,1,28,1,Wiley,9.78E+12,,For Dummies Series,384
94,Access Forms & Reports For Dummies,Brian Underdahl,05,9,30,1,Wiley,9.78E+12,,For Dummies Series,408
95,Access Hacks,"Ken Bluttman, Bluttman Ken",05,3,11,1,"O'Reilly Media, Incorporated",9.78E+12,,Hacks Series,352
96,Access VBA Programming,"Charles Brown, Ron Petrusha",04,8,23,1,McGraw-Hill Professional Publishing,9.78E+12,,Programming Ser.,464
97,Accessible Access 2003,"Mark Whitehorn, Bill Marklyn",05,7,1,1,Springer London,9.78E+12,,,378
98,"Accessing Federal Data Bases for Contaminated Site Clean-up Technologies, Ed. 4: October 1995",U.S. Environmental Protection Agency (Created by),12,8,14,,BiblioGov,9.78E+12,,,68
99,"Accessing Federal Databases For Contaminated Site Clean-Up Technologies, Ed. 2",U.S. Environmental Protection Agency (Created by),12,8,14,,BiblioGov,9.78E+12,,,54
100,Accounting and Auditing Research and Databases: Practitioner's Desk Reference,Thomas R. Weirich,12,10,9,1,Wiley,9.78E+12,,,255
101,Accounting Database Design and T-SQL Reporting: Accounting Information System Design,Derek Liew,11,2,18,,CreateSpace Independent Publishing Platform,9.78E+12,,,172
102,Accounting Information System and Database.. >CUSTOM<,Cartehoffer,08,1,28,,Pearson Custom Publishing,9.78E+12
103,Accounting Research Directory: The Database of Accounting Literature,"Lawrence Brown, Miklos Vasarhelyi, John Consaul Gardner",89,4,28,2,"Wiener, Markus Publishers, Incorporated",9.78E+12,,,700
104,Achieving Extreme Performance with Oracle Exadata,"Rick Greenwald, Robert Stackowiak, Maqsood Alam, Mans Bhuller",11,2,11,1,McGraw-Hill Professional Publishing,9.78E+12,,Oracle Press Series,432
105,Achieving Information Integrity In Databases For Open Systems,"Khurana Reema, V. Mandke Vijay",10,12,2,,AV Akademikerverlag GmbH & Co. KG.,9.78E+12,,,224
106,ACT! 2006 For Dummies,Karen S. Fredricks,05,12,12,1,Wiley,9.78E+12,,For Dummies Series,394
107,"Active and Real-Time Database Systems: Proceedings of the First International Workshop on Active and Real-Time Database Systems, Sk̦vde, Sweden, 9-11 June 1995","Mikael Berndtsson (Editor), Jorgen Hansson (Editor)",95,12,1,1,Springer London,9.78E+12,,Workshops in Computing Series,266
108,"Active Media Technology: 8th International Conference, AMT 2012, Macau, China, December 4-7, 2012, Proceedings","Runhe Huang (Editor), Ali A. Ghorbani (Editor), Takahira Yamaguchi (Editor), Gabriella Pasi (Editor), Neil Yen (Editor)",12,10,29,1,Springer Berlin Heidelberg,9.78E+12,,"Lecture Notes in Computer Science / Information Systems and Applications, incl. Internet/Web, and HCI,#7669",687
109,Active Rules in Database Systems,Norman W. Paton (Editor),98,11,6,1,Springer New York,9.78E+12,,Monographs in Computer Science Series,439
110,Activeeducation's Access 2000 Intermediate,"Scott Palmer, Ron Pronk (Editor), Holly Freeman (Editor), ActiveEducation Staff",00,3,28,,ActiveEducation,9.78E+12,,,194
111,Acute Hazardous Events Data Base Appendices to Final Report,U.S. Environmental Protection Agency (Created by),12,8,11,,BiblioGov,9.78E+12,,,212
112,Acute Hazardous Events Data Base Final Report,U.S. Environmental Protection Agency (Created by),12,8,11,,BiblioGov,9.78E+12,,,178
113,Acute Hazardous Events Data Base: Executive Summary - Interim Final,U.S. Environmental Protection Agency (Created by),12,8,11,,BiblioGov,9.78E+12,,,32
114,Adaptive Business Intelligence,"Zbigniew Michalewicz, Martin Schmidt, Matthew Michalewicz, Constantin Chiriac",10,11,9,,Springer Berlin Heidelberg,9.78E+12,,,246
115,Adaptive Cryptographic Access Control,"Anne V. D. M. Kayem, Selim G. Akl, Patrick Martin",10,8,16,1,Springer US,9.78E+12,,"Advances in Information Security Series,#48",138
116,"Adaptive Information: Improving Business Through Semantic Interoperability, Grid Computing, and Enterprise Integration","Jeffrey T. Pollock, Ralph Hodgson, Patrick Gannon (Foreword by)",04,9,28,1,Wiley,9.78E+12,,"Wiley Series in Systems Engineering and Management Series,#32",440
117,Adaptive Intrusion Tolerant Database Systems,"Pramote Luenam, Peng Liu, Anthony F. Norcio",08,12,28,,VDM Verlag,9.78E+12,,,172
118,"Adaptive Multimedia Retrieval. Understanding Media and Adapting to the User: 7th International Workshop, AMR 2009, Madrid, Spain, September 24-25, 2009, Revised Selected Papers","Marcin Detyniecki (Editor), Ana Garcia-Serrano (Editor), Andreas Nurnberger (Editor)",11,7,14,1,Springer Berlin Heidelberg,9.78E+12,,"Lecture Notes in Computer Science / Information Systems and Applications, incl. Internet/Web, and HCI,#6535",159
119,Adaptive Query Processing,"Amol Deshpande, Zachary Ives, Vijayshankar Raman",07,7,1,,Now Publishers,9.78E+12,,,160
120,Admin911 Sql Server 2000,"Brian Knight, Kathy Ivens (Editor)",01,1,1,,"McGraw-Hill Companies, The",9.78E+12,,Survival Guide,388
121,Administering a Microsoft SQL Server 2000 Database: Msm2072cp Moc Class Pack,,03,1,28,,Element K LLC,9.78E+12
122,Administering Informix Dynamic Server: Building the Foundation,Carlton Doe,08,10,15,,Mc Press,9.78E+12,,,400
123,Administrator's Guide To Sybase ASE 15,"Jeffrey Garbus, Ashish Gupta",06,4,17,,Jones & Bartlett Learning,9.78E+12,,,472
124,ADO Examples and Best Practices,"William R. Vaughn, William Vaughan (Other)",00,5,1,,Apress,9.78E+12,,,425
125,ADO: Active X Data Objects,"Jason T Roff, Nancy Kotary (Editor)",01,7,4,1,"O'Reilly Media, Incorporated",9.78E+12,,,624
126,ADO Programming For Dummies,Rob Krumm,00,11,15,1,"Wiley, John & Sons, Incorporated",9.78E+12,,For Dummies Series,477
127,"ADO.NET 3.5 Cookbook, 2E",Bill Hamilton,08,3,1,2,"O'Reilly Media, Incorporated",9.78E+12,,Cookbooks (O'Reilly) Series,992
128,ADO.NET and ADO Examples and Best Practices for VB Programmers,"William (Bill) Vaughn, Jim Fawcette (Foreword by)",02,2,5,2,Apress,9.78E+12,,,771
129,ADO.NET Examples and Best Practices for C# Programmers,"Peter D. Blackburn, William (Bill) Vaughn, William R. Vaughan",02,4,10,1,Apress,9.78E+12,,,384
130,Ado.Net Programming,Arlen S Feldman,02,7,28,,"O'Reilly Media, Incorporated",9.78E+12,,,592
131,ADO.NET Programming in Visual Basic.NET,"Steven E. Holzner, Bob Howell, Robert Howell",02,12,27,2,Prentice Hall,9.78E+12,,,406
132,Advanced Approaches to Intelligent Information and Database Systems,"Janusz Sobecki (Editor), Veera Boonjing (Editor), Suphamit Chittayasothorn (Editor)",14,4,15,,Springer International Publishing,9.78E+12,,Studies in Computational Intelligence Series,366
133,"Advanced Computing Applications, Databases and Networks",Shahin Ara Begum,11,10,1,1,Alpha Science International Ltd.,9.79E+12
134,"Advanced Conceptual Modeling Techniques: ER 2002 Workshops - ECDM, MobIMod, IWCMQ, and eCOMO, Tampere, Finland, October 7-11, 2002, Proceedings","Antoni Olive (Editor), Masatoshi Yoshikawa (Editor), Eric S.K. Yu (Editor)",03,12,5,1,Springer Berlin Heidelberg,9.78E+12,,"Lecture Notes in Computer Science Series,#2784",452
135,"Advanced Data Mining and Applications: 6th International Conference, ADMA 2010, Chongqing, China, November 19-21, 2010, Proceedings, Part I","Longbing Cao (Editor), Yong Feng (Editor), Jiang Zhong (Editor)",11,3,10,1,Springer Berlin Heidelberg,9.78E+12,,"Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence Series,#6440",628
136,Advanced Data Mining Techniques,"David L. Olson, Dursun Delen",08,3,4,1,Springer Berlin Heidelberg,9.78E+12,,,180
137,Advanced Data Warehouse Design: From Conventional to Spatial and Temporal Applications,"Elzbieta Malinowski, Esteban Zimanyi",08,3,15,1,Springer Berlin Heidelberg,9.78E+12,,Data-Centric Systems and Applications Series,444
138,Advanced Database Implementation and Benchmarking,Narayanan Valliappan,14,5,28,,AV Akademikerverlag GmbH & Co. KG.,9.78E+12,,,76
139,Advanced Database Indexing,"Yannis Manolopoulos, Yannis Theodoridis, Vassilis Tsotras",99,11,30,1,Springer US,9.78E+12,,"Advances in Database Systems Series,#17",286
140,"Advanced Database Query Systems: Techniques, Applications and Technologies","Li Yan (Editor), Zongmin Ma (Editor)",11,3,31,,IGI Global,9.78E+12,,,412
141,Advanced Database Systems,Carlo Zaniolo,97,5,1,1,Elsevier Science,9.78E+12,,Morgan Kaufmann Series in Data Management Systems Series,576
142,"Advanced Database Systems: Tenth British National Conference on Databases, BNCDD 10, Aberdeen, Scotland, July 6-8, 1992 Proceedings","M. D. Gray (Editor), J. Hartmanis (Editor), G. Goos (Editor), R. J. Lucas (Editor)",92,7,1,,"Springer-Verlag New York, LLC",9.78E+12,,Lecture Notes in Computer Science,260
143,Advanced Database Technology And Design,"Mario Piattini, Oscar Diaz (Editor)",00,8,31,1,"Artech House, Incorporated",9.78E+12,,Artech House Computing Library Series,558
144,"Advanced DBA Certification Guide and Reference: for DB2 Universal Database v8.1 for Linux, UNIX, and Windows","Dwaine Snow, Thomas Xuan Phan",03,7,10,,IBM Press,9.78E+12,,IBM Press Series--Information Management,800
145,Advanced Debugging Methods,Raimondas Lencevicius,12,9,28,,Springer US,9.78E+12,,"Springer International Series in Engineering and Computer Science,#568",183
146,"Advanced Information Systems Engineering: 21st International Conference, CAiSE 2009, Amsterdam, The Netherlands, June 8-12, 2009, Proceedings","Pascal van Eck (Editor), Jaap Gordijn (Editor), Roel J. Wieringa (Editor)",09,6,1,1,Springer Berlin Heidelberg,9.78E+12,,"Lecture Notes in Computer Science / Information Systems and Applications, incl. Internet/Web, and HCI Series,#5565",562
147,Advanced Oracle SQL Tuning: The Definitive Reference,Donald K. Burleson,14,3,5,,Rampant TechPress,9.78E+12,,,782
148,Advanced Oracle Tuning and Administration,"Eyal Aronoff, Noorali Sonawalla",96,10,31,,McGraw-Hill Professional Publishing,9.78E+12,,,595
149,Advanced Oracle Utilities: The Definitive Reference,"Bert Scalzo, Donald Burleson, Steve Callan",14,3,21,,Rampant TechPress,9.78E+12,,,750
150,Advanced Programming in Visual Basic 6.0 with Cd,"Julia Case Bradley, Anita C. Millspaugh",00,4,28,1,"McGraw-Hill Companies, The",9.78E+12,,,800
151,Advanced Relational Programming,"Philippe Cacace, Gainfranco Lamperti",96,6,30,,"Springer-Verlag New York, LLC",9.78E+12,,Mathematics and Its Applications Series,416
152,Advanced Signature Indexing for Multimedia and Web Applications,"Yannis Manolopoulos, Alexandros Nanopoulos, Eleni Tousidou",12,12,31,1,Springer US,9.78E+12,,"Advances in Database Systems,#27",194
153,"Advanced Topics In Database Research, Volume 4",Keng Siau,05,3,31,4,IGI Global,9.78E+12,,Advanced Topics in Database Research Series,392
154,"Advanced Topics In Database Research, Volume 5",Keng Siau,06,4,30,,IGI Global,9.78E+12,,,476
155,"Advanced Topics In Information Resources Management, Volume 5",Mehdi Khosrow-Pour,05,11,30,,IGI Global,9.78E+12,,,370
156,Advanced Transaction Models and Architectures,"Sushil Jajodia (Editor), Larry Kerschberg (Editor)",07,10,26,1,Springer US,9.78E+12,,,381
157,Advanced Tuning for JD Edwards EnterpriseOne Implementations,"Michael Jacot, Allen Jacot, Frank Jordan, Gurbinder Bali, Patrick Scott",13,7,22,1,McGraw-Hill Professional Publishing,9.78E+12,,Oracle Press Series,560
158,Advanced Web Services,"Athman Bouguettaya (Editor), Quan Z. Sheng (Editor), Florian Daniel (Editor)",13,8,31,1,Springer New York,9.78E+12,,,700
159,Advanced Weblogic Server Automation: Administration and Monitoring with Wlst and Jmx,Martin Heinzl,14,6,5,,Rampant TechPress,9.78E+12,,,704
160,"Advances in Artificial Intelligence: 22nd Canadian Conference on Artificial Intelligence, Canadian AI 2009, Kelowna, Canada, May 25-27, 2009 Proceedings","Yong Gao (Editor), Nathalie Japkowicz (Editor)",09,6,1,1,Springer Berlin Heidelberg,9.78E+12,,"Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence Series,#5549",296
161,"Advances in Bioinformatics and Computational Biology: 4th Brazilian Symposium on Bioinformatics, BSB 2009, Porto Alegre, Brazil, July 29-31, 2009, Proceedings","Katia S. Guimaraes (Editor), Anna Panchenko (Editor), Teresa M. Przytycka (Editor)",09,7,14,1,Springer Berlin Heidelberg,9.78E+12,,"Lecture Notes in Computer Science / Lecture Notes in Bioinformatics Series,#5676",169
162,"Advances in Brain Inspired Cognitive Systems: 6th International Conference, BICS 2013, Beijing, China, June 9-11, 2013. Proceedings","Derong Liu (Editor), Cesare Alippi (Editor), Dongbin Zhao (Editor), Amir Hussain (Editor)",13,5,28,1,Springer Berlin Heidelberg,9.78E+12,,"Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence Series,#7888",435
163,"Advances in Communication, Network, and Computing: Third International Conference, CNC 2012, Chennai, India, February 24-25, 2012, Revised Selected Papers","Vinu V Das (Editor), Janahanlal Stephen (Editor)",12,11,17,1,Springer Berlin Heidelberg,9.78E+12,,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering Series,#108",459
164,Advances in Computational Algorithms and Data Analysis,Springer Netherlands,10,11,10,1,Springer Netherlands,9.79E+12,,"Lecture Notes in Electrical Engineering Series,#14",588
165,"Advances in Computer Methods for Systematic Biology: Artificial Intelligence, Databases, Computer Vision",Renaud Fortuner (Editor),93,3,1,,Johns Hopkins University Press,9.78E+12,,,574
166,Advances in Computers: Information Security,Marvin Zelkowitz,04,6,1,,Elsevier Science,9.78E+12,,,340
